"date_litter","stage","weight","species","confidence"
"14/11/2013","15.5",535,"mus","medium"
"10/16/2014","22.5",121,"aco","medium"
"10/16/2014","22.5",122,"aco","medium"
"10/16/2014","22.5",138,"aco","medium"
"10/8/2014","19.5",155,"aco","medium"
"4/14/2014",19,157,"aco","medium"
"4/14/2014",19,160,"aco","medium"
"4/14/2014",19,163,"aco","medium"
"11/5/2014","19.5",166,"aco","medium"
"11/5/2014","19.5",173,"aco","medium"
"10/8/2014","19.5",176,"aco","medium"
"4/13/2015","19.5",203,"aco","medium"
"2/21/2014",19,209,"aco","medium"
"10/9/2014","20.5",212,"aco","medium"
"19/02/2014-1",20,215,"aco","medium"
"4/13/2015","19.5",216,"aco","medium"
"10/22/2014","20.5",220,"aco","medium"
"2/21/2014",19,222,"aco","medium"
"2/21/2014",19,225,"aco","medium"
"10/22/2014","20.5",230,"aco","medium"
"10/9/2014","20.5",250,"aco","medium"
"19/02/2014-1",20,253,"aco","medium"
"10/22/2014","20.5",253,"aco","medium"
"19/02/2014-1",20,264,"aco","medium"
"5/5/2015",21,270,"aco","medium"
"10/22/2014","20.5",275,"aco","medium"
"10/22/2014","20.5",276,"aco","medium"
"4/1/2015","21.5",286,"aco","medium"
"4/17/2014","20.5",293,"aco","medium"
"10/22/2014","20.5",298,"aco","medium"
"4/1/2015","21.5",298,"aco","medium"
"2/13/2015","21.5",301,"aco","medium"
"2/13/2015","21.5",303,"aco","medium"
"3/4/2015","21.5",306,"aco","medium"
"3/4/2015","21.5",312,"aco","medium"
"19/02/2014-2",20,313,"aco","medium"
"12/11/2014","20.5",315,"aco","medium"
"11/6/2014","22.5",316,"aco","medium"
"5/5/2015",21,318,"aco","medium"
"12/11/2014","20.5",320,"aco","medium"
"2/19/2015","22.5",320,"aco","medium"
"3/4/2015","21.5",321,"aco","medium"
"19/02/2014-2",20,322,"aco","medium"
"3/20/2014","20.5",322,"aco","medium"
"12/11/2014","20.5",327,"aco","medium"
"4/17/2014","20.5",330,"aco","medium"
"10/9/2014","20.5",331,"aco","medium"
"10/9/2014","20.5",335,"aco","medium"
"2/19/2015","22.5",340,"aco","medium"
"10/29/2015",23,347,"aco","medium"
"19/02/2014-2",20,350,"aco","medium"
"3/13/2015","21.5",353,"aco","medium"
"3/20/2014","20.5",355,"aco","medium"
"3/13/2015","21.5",361,"aco","medium"
"4/8/2015",22,362,"aco","medium"
"19/02/2014-2",20,386,"aco","medium"
"10/29/2015",23,386,"aco","medium"
"2/19/2015","22.5",387,"aco","medium"
"5/7/2015",23,391,"aco","medium"
"4/8/2015",22,396,"aco","medium"
"3/28/2014","21.5",398,"aco","medium"
"4/18/2014","21.5",398,"aco","medium"
"11/6/2014","22.5",401,"aco","medium"
"5/22/2015","23.5",403,"aco","medium"
"3/28/2014","21.5 ",408,"aco","medium"
"4/18/2014","21.5",410,"aco","medium"
"4/9/2015","22.5",416,"aco","medium"
"4/9/2015","22.5",422,"aco","medium"
"10/29/2015",23,424,"aco","medium"
"7/30/2015","22.5",430,"aco","medium"
"4/18/2014","21.5",437,"aco","medium"
"7/30/2015","22.5",438,"aco","medium"
"5/7/2015",23,438,"aco","medium"
"7/10/2015",22,445,"aco","medium"
"5/22/2015","23.5",445,"aco","medium"
"7/30/2015","22.5",450,"aco","medium"
"2/19/2015","22.5",453,"aco","medium"
"5/6/2015",22,458,"aco","medium"
"2/19/2015","22.5",458,"aco","medium"
"10/15/2015","22.5",461,"aco","medium"
"10/15/2015","22.5",461,"aco","medium"
"5/22/2015","23.5",467,"aco","medium"
"5/6/2015",22,468,"aco","medium"
"7/30/2015","22.5",470,"aco","medium"
"5/7/2015",23,470,"aco","medium"
"7/10/2015",22,486,"aco","medium"
"7/30/2015","22.5",490,"aco","medium"
"9/23/2015",22,508,"aco","medium"
"10/15/2015","22.5",528,"aco","medium"
"10/15/2015","22.5",528,"aco","medium"
"11/12/2015",23,530,"aco","medium"
"4/7/2014",23,561,"aco","medium"
"7/30/2015",23,591,"aco","medium"
"11/19/2015","22.5",598,"aco","medium"
"11/19/2015","22.5",603,"aco","medium"
"11/12/2015",23,616,"aco","medium"
"4/17/2015","23.5",620,"aco","medium"
"7/16/2015",23,627,"aco","medium"
"7/16/2015",23,631,"aco","medium"
"7/17/2015","23.5",643,"aco","medium"
"2/3/2014",23,647,"aco","medium"
"7/3/2015","23.5",655,"aco","medium"
"4/17/2015","23.5",663,"aco","medium"
"7/3/2015","23.5",670,"aco","medium"
"7/30/2015",23,673,"aco","medium"
"7/17/2015","23.5",697,"aco","medium"
"2/3/2014",23,698,"aco","medium"
"2/3/2014",23,700,"aco","medium"
"7/17/2015","23.5",704,"aco","medium"
"7/17/2015","23.5",710,"aco","medium"
"7/3/2015","23.5",711,"aco","medium"
"2/3/2014",23,714,"aco","medium"
"4/25/2014","22.5",727,"aco","medium"
