"date_litter" "stage" "weight" "species" "confidence"
"434" "21/05/2010" 16 521 "mus" "yes"
"435" "21/05/2010" 16 685 "mus" "yes"
"436" "21/05/2010" 16 654 "mus" "yes"
"437" "21/05/2010" 16 655 "mus" "yes"
"438" "21/05/2010" 16 665 "mus" "yes"
"439" "21/05/2010" 16 621 "mus" "yes"
"440" "21/05/2010" 16 624 "mus" "yes"
"441" "21/05/2010" 16 605 "mus" "yes"
"442" "21/05/2010" 16 645 "mus" "yes"
"443" "21/05/2010" 16 633 "mus" "yes"
"444" "07/12/2011" 16 560 "mus" "yes"
"445" "07/12/2011" 16 566 "mus" "yes"
"446" "07/12/2011" 16 571 "mus" "yes"
"447" "07/12/2011" 16 576 "mus" "yes"
"448" "07/12/2011" 16 661 "mus" "yes"
"449" "07/12/2011" 16 671 "mus" "yes"
"450" "07/12/2011" 16 630 "mus" "yes"
"451" "07/12/2011" 16 635 "mus" "yes"
"452" "16/07/2009" 16 549 "mus" "yes"
"453" "16/07/2009" 16 550 "mus" "yes"
"454" "16/07/2009" 16 557 "mus" "yes"
"455" "16/07/2009" 16 589 "mus" "yes"
"456" "16/07/2009" 16 563 "mus" "yes"
"457" "16/07/2009" 16 561 "mus" "yes"
"458" "16/07/2009" 16 610 "mus" "yes"
"459" "16/07/2009" 16 577 "mus" "yes"
"460" "16/07/2009" 16 579 "mus" "yes"
"461" "16/07/2009" 16 578 "mus" "yes"
"462" "16/07/2009" 16 570 "mus" "yes"
"463" "16/07/2009" 16 532 "mus" "yes"
"464" "30/01/2009" 16 560 "mus" "yes"
"465" "30/01/2009" 16 568 "mus" "yes"
"466" "30/01/2009" 16 573 "mus" "yes"
"467" "30/01/2009" 16 590 "mus" "yes"
"468" "30/01/2009" 16 582 "mus" "yes"
"469" "30/01/2009" 16 632 "mus" "yes"
"470" "30/01/2009" 16 645 "mus" "yes"
"471" "30/01/2009" 16 535 "mus" "yes"
"472" "30/01/2009" 16 550 "mus" "yes"
"473" "30/01/2009" 16 497 "mus" "yes"
"474" "30/01/2009" 16 603 "mus" "yes"
"475" "30/01/2009" 16 624 "mus" "yes"
"476" "16/12/2011" 16.5 741 "mus" "yes"
"477" "16/12/2011" 16.5 723 "mus" "yes"
"478" "16/12/2011" 16.5 712 "mus" "yes"
"479" "16/12/2011" 16.5 649 "mus" "yes"
"480" "16/12/2011" 16.5 653 "mus" "yes"
"481" "16/12/2011" 16.5 622 "mus" "yes"
"482" "16/12/2011" 16.5 628 "mus" "yes"
"483" "16/12/2011" 16.5 760 "mus" "yes"
"484" "16/12/2011" 16.5 770 "mus" "yes"
"485" "16/12/2011" 16.5 608 "mus" "yes"
"486" "16/12/2011" 16.5 602 "mus" "yes"
"487" "16/12/2011" 16.5 686 "mus" "yes"
"488" "16/12/2011" 16.5 680 "mus" "yes"
"489" "16/12/2011" 16.5 694 "mus" "yes"
"490" "21/06/2012" 16.5 737 "mus" "yes"
"491" "21/06/2012" 16.5 731 "mus" "yes"
"492" "21/06/2012" 16.5 730 "mus" "yes"
"493" "21/06/2012" 16.5 688 "mus" "yes"
"494" "21/06/2012" 16.5 685 "mus" "yes"
"495" "21/06/2012" 16.5 688 "mus" "yes"
"496" "21/06/2012" 16.5 716 "mus" "yes"
"497" "21/06/2012" 16.5 624 "mus" "yes"
"498" "21/06/2012" 16.5 771 "mus" "yes"
"499" "21/06/2012" 16.5 722 "mus" "yes"
"500" "21/06/2012" 16.5 721 "mus" "yes"
"501" "21/06/2012" 16.5 811 "mus" "yes"
"502" "19/02/2009" 16.5 705 "mus" "yes"
"503" "19/02/2009" 16.5 716 "mus" "yes"
"504" "19/02/2009" 16.5 703 "mus" "yes"
"505" "19/02/2009" 16.5 709 "mus" "yes"
"506" "19/02/2009" 16.5 711 "mus" "yes"
"507" "19/02/2009" 16.5 705 "mus" "yes"
"508" "19/02/2009" 16.5 740 "mus" "yes"
"509" "19/02/2009" 16.5 723 "mus" "yes"
"510" "19/02/2009" 16.5 688 "mus" "yes"
"511" "19/02/2009" 16.5 680 "mus" "yes"
"512" "19/02/2009" 16.5 671 "mus" "yes"
"513" "19/02/2009" 16.5 789 "mus" "yes"
"514" "27/01/2012" 16.5 745 "mus" "yes"
"515" "27/01/2012" 16.5 752 "mus" "yes"
"516" "27/01/2012" 16.5 690 "mus" "yes"
"517" "27/01/2012" 16.5 689 "mus" "yes"
"518" "27/01/2012" 16.5 719 "mus" "yes"
"519" "27/01/2012" 16.5 706 "mus" "yes"
"520" "27/01/2012" 16.5 702 "mus" "yes"
"521" "27/01/2012" 16.5 664 "mus" "yes"
"522" "27/01/2012" 16.5 670 "mus" "yes"
"523" "27/01/2012" 16.5 796 "mus" "yes"
"524" "27/01/2012" 16.5 630 "mus" "yes"
"525" "27/01/2012" 16.5 629 "mus" "yes"
"526" "27/01/2012" 16.5 640 "mus" "yes"
"527" "01/02/2013" 17 823 "mus" "yes"
"528" "01/02/2013" 17 886 "mus" "yes"
"529" "01/02/2013" 17 889 "mus" "yes"
"530" "01/02/2013" 17 907 "mus" "yes"
